Text_id	Tags	Text_title	Lexical Richness: Type Token Ratio (Root TTR)	Mean Sentence Length in Tokens	Lexical Variation Feature: Modifier	Mean Token Length in Syllables	Syntactic Complexity Feature: Complex Nominals per Clause
197649		paper_vs_tablet	5.62068547982876	19.0	0.162790697674419	1.51315789473684	1.4
197650		live_vs_video	5.65685424949238	18.0	0.13953488372093	1.58333333333333	1.16666666666667
197651		simulation_vs_lab	5.6736651461358	21.0	0.104166666666667	1.82142857142857	1.5
197652		subtitles_vs_nosubtitles	5.44444444444444	20.25	0.111111111111111	1.61728395061728	1.83333333333333
