session,created,modified,ended,expired,prpid,topic,group,plotx_01,plotx_02,plotx_03,plotx_04,plotx_05,plotx_06,plotx_07,plotx_08,plotx_09,plotx_10,plotx_11,plotx_12,plotx_13,plotx_14,plotx_15,plotx_16,plotx_17,plotx_18,plotx_19,plotx_20,itemo,conse,diffi_01,sensi_01,acccl_01,accu3_01,accov_01,infor_01,value_01,diffi_02,sensi_02,acccl_02,accu3_02,accov_02,infor_02,value_02,diffi_03,sensi_03,acccl_03,accu3_03,accov_03,infor_03,value_03,diffi_04,sensi_04,acccl_04,accu3_04,accov_04,infor_04,value_04,diffi_05,sensi_05,acccl_05,accu3_05,accov_05,infor_05,value_05,diffi_06,sensi_06,acccl_06,accu3_06,accov_06,infor_06,value_06,diffi_07,sensi_07,acccl_07,accu3_07,accov_07,infor_07,value_07,diffi_08,sensi_08,acccl_08,accu3_08,accov_08,infor_08,value_08,diffi_09,sensi_09,acccl_09,accu3_09,accov_09,infor_09,value_09,diffi_10,sensi_10,acccl_10,accu3_10,accov_10,infor_10,value_10,attention_check,diffi_11,sensi_11,acccl_11,accu3_11,accov_11,infor_11,value_11,diffi_12,sensi_12,acccl_12,accu3_12,accov_12,infor_12,value_12,diffi_13,sensi_13,acccl_13,accu3_13,accov_13,infor_13,value_13,diffi_14,sensi_14,acccl_14,accu3_14,accov_14,infor_14,value_14,diffi_15,sensi_15,acccl_15,accu3_15,accov_15,infor_15,value_15,diffi_16,sensi_16,acccl_16,accu3_16,accov_16,infor_16,value_16,diffi_17,sensi_17,acccl_17,accu3_17,accov_17,infor_17,value_17,diffi_18,sensi_18,acccl_18,accu3_18,accov_18,infor_18,value_18,diffi_19,sensi_19,acccl_19,accu3_19,accov_19,infor_19,value_19,diffi_20,sensi_20,acccl_20,accu3_20,accov_20,infor_20,value_20,check_01,check_02,umean_1x,umean_2x,umean_1y,umean_2y,uvary_2x,uvary_2y,uxaxs_1x,uyaxs_1x,uxaxs_1y,uyaxs_1y,mcstu,mcsto,mcsub,texpe,diffi,infor,value,check
-3BB-bnUVOijCpV_Hm4mYK3jeLT_qjH99KufF2yoYzoE-oXGm3aldCvyASbmDKMb,2023-11-13T08:16:27Z,2023-11-13T08:41:39Z,2023-11-13T08:41:39Z,NA,5eac47d12b68452804cffeef,experiment_simulation_vs_lab,eg_signaling_overlap,halfeye_yaxis_-0.8,halfeye_xaxis_0.5,halfeye_xaxis_0.2,halfeye_yaxis_0.5,halfeye_xaxis_0.8,halfeye_xaxis_-0.8,halfeye_yaxis_-0.2,halfeye_yaxis_0.8,halfeye_yaxis_-0.5,halfeye_xaxis_-0.2,halfeye_xaxis_0.65,halfeye_xaxis_-0.35,halfeye_yaxis_0.35,halfeye_yaxis_0.65,halfeye_xaxis_-0.65,halfeye_xaxis_-0.5,halfeye_yaxis_-0.35,halfeye_xaxis_0.35,halfeye_yaxis_-0.65,halfeye_yaxis_0.2,sensitivity_accuracy,1,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,5,NA,4,NA,0.4,8,77,5,5,4,NA,-0.2,6,80,5,5,6,NA,0.2,6,80,5,5,6,NA,0.4,8,76,5,5,4,NA,-0.4,8,76,5,5,4,NA,-0.4,6,76,5,5,4,NA,-0.2,6,80,5,5,4,NA,0.2,6,80,5,5,6,NA,-0.4,8,76,5,5,6,NA,0.2,4,80,5,5,6,NA,5,3,2,5,1,1,The number of experimenters for a particular score.,The score achieved by experimenters.,The score achieved by experimenters.,The number of experimenters achieving a particular score.,2,NA,2,23,4.85,5,5,NA
-Awd6Vp0su7T2f_qd8VW7V5pubaVbc-g98wGWsVkxRRh89x7yf3srZZmETsPFDVf,2023-11-09T17:48:08Z,2023-11-09T17:59:50Z,NA,NA,5c7a8e2cc872f3001446f7b3,reading_digital_vs_analog,eg_signaling_overlap,halfeye_xaxis_0.2,halfeye_xaxis_-0.8,halfeye_yaxis_-0.2,halfeye_yaxis_-0.8,halfeye_xaxis_0.35,halfeye_yaxis_0.65,halfeye_yaxis_0.2,halfeye_yaxis_-0.35,halfeye_xaxis_0.5,halfeye_xaxis_-0.65,halfeye_xaxis_-0.2,halfeye_xaxis_-0.35,halfeye_xaxis_0.8,halfeye_yaxis_-0.65,halfeye_yaxis_-0.5,halfeye_yaxis_0.8,halfeye_xaxis_-0.5,halfeye_yaxis_0.5,halfeye_xaxis_0.65,halfeye_yaxis_0.35,accuracy_sensitivity,1,6,NA,0.2,75,25,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-DbYGGeWZEW_uAhTuJY04mjqRIyuSoEgMh96AuZsj9PomrMhsduZuERg5-v9McnU,2023-11-09T18:12:57Z,2023-11-09T18:34:52Z,2023-11-09T18:34:52Z,NA,5c4491198bb6fd00016417d1,reading_digital_vs_analog,eg_signaling_u3,halfeye_yaxis_0.8,halfeye_yaxis_-0.65,halfeye_xaxis_0.2,halfeye_xaxis_-0.65,halfeye_xaxis_-0.2,halfeye_yaxis_0.2,halfeye_xaxis_0.65,halfeye_yaxis_-0.8,halfeye_xaxis_-0.5,halfeye_xaxis_0.8,halfeye_yaxis_-0.5,halfeye_xaxis_-0.35,halfeye_xaxis_-0.8,halfeye_yaxis_0.5,halfeye_yaxis_0.35,halfeye_xaxis_0.5,halfeye_xaxis_0.35,halfeye_yaxis_-0.2,halfeye_yaxis_-0.35,halfeye_yaxis_0.65,accuracy_sensitivity,1,5,NA,0.8,75,60,5,6,6,NA,-0.4,20,90,5,2,3,NA,0.2,60,90,2,2,2,NA,-0.4,30,60,2,2,2,NA,-0.2,65,90,2,2,5,NA,0.2,55,90,5,3,3,NA,0.4,70,60,3,3,6,NA,-0.4,20,60,5,3,3,NA,-0.2,20,80,3,2,3,NA,0.6,80,40,3,3,1,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,3,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,3,3,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,3,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,6,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,2,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,6,6,NA,5,3,2,5,1,1,"Although omitted visually (the horizontal grid is NOT an axis) it represents intensity, or amount of students who registered this score.",Knowledge test score.,Knowledge test score,"Although the vertical axis is omitted (the vertical grid is NOT an axis) it is understood to be a measure of intensity, or how many students achieved a determinate value of knowledge test score.",6,University,1,3,4.5,4.05,3.5,NA
-QoiF0KPwjRFem9cwOXC9LMit9uXx5osQWXcyTbUi1WP3uA0pHSJpUpLSAHnQ9rd,2023-11-09T11:57:33Z,2023-11-09T12:34:56Z,2023-11-09T12:34:56Z,NA,5a1a1d17fe645f0001ea0629,experiment_simulation_vs_lab,eg_signaling_overlap,halfeye_xaxis_-0.35,halfeye_xaxis_0.2,halfeye_yaxis_-0.65,halfeye_yaxis_0.2,halfeye_yaxis_-0.35,halfeye_yaxis_-0.2,halfeye_yaxis_0.5,halfeye_xaxis_-0.8,halfeye_xaxis_0.5,halfeye_xaxis_0.8,halfeye_yaxis_-0.5,halfeye_xaxis_0.65,halfeye_yaxis_0.65,halfeye_xaxis_-0.5,halfeye_yaxis_-0.8,halfeye_xaxis_-0.2,halfeye_yaxis_0.8,halfeye_xaxis_-0.65,halfeye_xaxis_0.35,halfeye_yaxis_0.35,sensitivity_accuracy,1,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,6,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,4,4,6,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,3,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,4,5,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,4,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,2,6,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,3,3,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,3,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,3,3,NA,5,NA,-0.4,40,95,4,3,6,NA,0.4,20,70,5,3,6,NA,0.6,39,70,3,3,5,NA,-0.2,45,95,2,3,6,NA,-0.2,90,80,4,4,3,NA,0.2,55,95,4,4,5,NA,0.6,65,80,5,3,3,NA,-0.2,40,85,5,4,5,NA,0.2,55,90,5,5,5,NA,0.2,55,90,5,5,6,NA,5,3,2,5,1,3,Proportion of students,Percentage scores,Knowledge test score,Proportion of students,1,NA,3,3,5.05,4.15,3.75,NA
-bNxjRMgd4c17d1ONXmR2MUZX5qQAb9VuugTYRp3eP1Wdv4b-3x1Iuys8GoLCzzw,2023-11-21T19:38:04Z,NA,NA,NA,5c1d19c810677f0001d9d56c,video_withsub_vs_without,eg_benchmark,halfeye_yaxis_0.5,halfeye_xaxis_0.65,halfeye_xaxis_0.5,halfeye_yaxis_0.2,halfeye_yaxis_0.35,halfeye_xaxis_-0.35,halfeye_xaxis_0.35,halfeye_xaxis_-0.2,halfeye_yaxis_0.65,halfeye_xaxis_-0.5,halfeye_yaxis_-0.8,halfeye_xaxis_-0.8,halfeye_xaxis_-0.65,halfeye_yaxis_-0.2,halfeye_yaxis_-0.5,halfeye_yaxis_-0.65,halfeye_xaxis_0.2,halfeye_yaxis_-0.35,halfeye_xaxis_0.8,halfeye_yaxis_0.8,sensitivity_accuracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-cetiOisLu-sHPSRtgWKw5bzOciVT9mCK14YymJHEtZ7_X2-HN9YtgdkZH0p0ZMs,2023-11-09T16:16:04Z,2023-11-09T16:31:06Z,NA,NA,5e64393b2a0d161c7c02126c,experiment_simulation_vs_lab,eg_signaling_u3,halfeye_yaxis_-0.35,halfeye_xaxis_-0.35,halfeye_xaxis_-0.2,halfeye_xaxis_0.2,halfeye_xaxis_-0.65,halfeye_yaxis_-0.8,halfeye_yaxis_-0.65,halfeye_xaxis_-0.5,halfeye_xaxis_0.5,halfeye_yaxis_0.5,halfeye_yaxis_0.8,halfeye_yaxis_-0.2,halfeye_xaxis_0.8,halfeye_yaxis_-0.5,halfeye_yaxis_0.2,halfeye_yaxis_0.65,halfeye_yaxis_0.35,halfeye_xaxis_0.35,halfeye_xaxis_-0.8,halfeye_xaxis_0.65,accuracy_sensitivity,1,3,NA,0.2,2,98,4,3,3,NA,0.2,1,99,3,3,3,NA,0.2,3,97,3,2,3,NA,0,0,100,4,2,3,NA,0,0,100,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-g4G8bysjy6oTKSvU9KGUO-anqU_AqkMQ8L9bJU9bn6c0izfIqyb2RdSAygoAsoN,2023-11-09T12:23:17Z,2023-11-09T12:38:00Z,2023-11-09T12:38:00Z,NA,601ec6a2737cd7386f131781,lesson_live_vs_video,eg_benchmark,halfeye_xaxis_0.65,halfeye_yaxis_0.2,halfeye_yaxis_-0.2,halfeye_xaxis_0.5,halfeye_xaxis_0.2,halfeye_xaxis_-0.65,halfeye_xaxis_-0.8,halfeye_yaxis_-0.8,halfeye_yaxis_0.65,halfeye_xaxis_0.8,halfeye_yaxis_0.8,halfeye_xaxis_-0.2,halfeye_yaxis_-0.65,halfeye_yaxis_-0.5,halfeye_yaxis_0.5,halfeye_yaxis_-0.35,halfeye_yaxis_0.35,halfeye_xaxis_-0.5,halfeye_xaxis_-0.35,halfeye_xaxis_0.35,accuracy_sensitivity,1,6,NA,0.4,55,30,5,6,1,NA,0.2,75,35,5,3,2,NA,-0.4,55,35,6,4,4,NA,0.6,50,60,5,5,5,NA,0.4,52,80,5,5,3,NA,-0.6,55,95,4,4,7,NA,0.8,58,95,4,2,4,NA,-0.6,62,50,2,5,3,NA,0.4,50,45,4,2,4,NA,0.4,10,98,4,4,NA,3,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,3,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,4,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,4,5,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,4,3,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,4,6,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,6,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,3,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,4,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,4,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,4,4,NA,6,5,3,2,5,1,1,amount of students ,results,knowledge test score,amount of students,6,private tutor college,"1, 2",3,3.8,4.25,4.2,NA
-rWFR5GwKxjoKX8xf6bUqCd9si4fvd-UUGoG6IuTrwS2WGiupOSllN-QfFDPQE7O,2023-11-09T16:51:55Z,2023-11-09T17:15:36Z,2023-11-09T17:15:36Z,NA,5f43c9fbe038cc0b2deb75d8,experiment_simulation_vs_lab,eg_benchmark,halfeye_xaxis_-0.65,halfeye_xaxis_0.5,halfeye_yaxis_0.65,halfeye_yaxis_0.8,halfeye_yaxis_-0.5,halfeye_xaxis_0.65,halfeye_yaxis_-0.2,halfeye_yaxis_0.35,halfeye_yaxis_-0.8,halfeye_xaxis_0.35,halfeye_xaxis_0.8,halfeye_xaxis_-0.35,halfeye_xaxis_-0.8,halfeye_yaxis_0.5,halfeye_yaxis_0.2,halfeye_yaxis_-0.35,halfeye_xaxis_-0.5,halfeye_yaxis_-0.65,halfeye_xaxis_0.2,halfeye_xaxis_-0.2,sensitivity_accuracy,1,5,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,4,6,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,4,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,4,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,4,4,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,4,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,4,4,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,1,2,NA,0.4,20,45,2,2,3,NA,-0.2,10,35,2,2,3,NA,-0.6,5,30,2,2,3,NA,0.2,10,45,3,3,2,NA,0,5,50,3,3,3,NA,0,5,50,3,3,2,NA,-0.4,5,35,2,2,3,NA,-0.2,5,20,3,3,3,NA,0.2,5,55,3,3,3,NA,0,2,50,3,3,NA,1,4,3,2,4,1,1,Number of students,score,score,number of students,1,NA,"1, 3, 4",6,3.65,3.7,3.65,NA
-wW2_BpLbAIrAx1mBPecr_Ep8E5csQJ2HghAlIx438SVZyCvKF1xe4Fk-mgBWA6L,2023-11-10T17:47:01Z,2023-11-10T18:29:32Z,2023-11-10T18:29:32Z,NA,5f5a785cfbf1061461451d9a,experiment_simulation_vs_lab,eg_signaling_overlap,halfeye_yaxis_0.8,halfeye_yaxis_0.2,halfeye_xaxis_-0.65,halfeye_xaxis_-0.5,halfeye_xaxis_0.2,halfeye_yaxis_0.35,halfeye_xaxis_0.8,halfeye_xaxis_0.65,halfeye_xaxis_-0.8,halfeye_xaxis_0.5,halfeye_yaxis_-0.65,halfeye_yaxis_0.65,halfeye_xaxis_0.35,halfeye_yaxis_-0.2,halfeye_yaxis_-0.8,halfeye_yaxis_-0.5,halfeye_yaxis_0.5,halfeye_yaxis_-0.35,halfeye_xaxis_-0.2,halfeye_xaxis_-0.35,accuracy_sensitivity,1,2,NA,0.8,12,12,5,3,6,NA,0,1,99,4,4,4,NA,-0.6,0,88,4,1,2,NA,-0.2,50,90,4,1,2,NA,0.2,50,95,2,2,3,NA,0.2,52,95,2,1,2,NA,0.4,50,82,2,1,2,NA,0.4,60,80,2,1,3,NA,-0.4,30,80,2,1,3,NA,0.4,55,80,2,1,NA,2,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,3,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,1,2,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,1,6,NA,5,3,2,5,1,1,number of students,test score in %,test score in%,number of students,6,college,4,34,2.85,2.5,1.3,NA
0Kf9aeMAIJuyWXyMTj_A57W0zbs1Cg2Yfc8lvWusL78aFFac5-VqUZiP8sEiQQ0N,2023-11-09T11:56:52Z,2023-11-09T12:25:45Z,2023-11-09T12:25:45Z,NA,5f91f00bfb9afc0e72142aac,reading_digital_vs_analog,cg,halfeye_xaxis_0.5,halfeye_yaxis_0.5,halfeye_xaxis_-0.65,halfeye_yaxis_0.2,halfeye_xaxis_0.2,halfeye_yaxis_0.65,halfeye_yaxis_-0.35,halfeye_yaxis_0.8,halfeye_yaxis_0.35,halfeye_yaxis_-0.8,halfeye_xaxis_0.65,halfeye_yaxis_-0.5,halfeye_yaxis_-0.65,halfeye_xaxis_-0.8,halfeye_xaxis_-0.2,halfeye_xaxis_-0.35,halfeye_yaxis_-0.2,halfeye_xaxis_0.35,halfeye_xaxis_0.8,halfeye_xaxis_-0.5,sensitivity_accuracy,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,5,4,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,4,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,4,6,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,5,5,5,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,6,5,7,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,6,6,5,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,5,5,7,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,7,7,5,sensitivity_tablet_livelesson_simulation_videowithsub_equal,NA,NA,NA,4,5,7,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,7,7,NA,5,NA,0.2,20,30,2,3,4,NA,-0.4,20,30,3,3,5,NA,0.4,20,10,3,3,5,NA,-0.4,25,25,2,2,3,NA,0,3,50,4,4,4,NA,-0.2,10,30,3,3,2,NA,0,5,60,5,5,5,NA,0.2,10,20,4,5,5,NA,0.2,10,30,6,6,6,NA,-0.4,10,35,5,5,NA,NA,5,3,2,5,1,1,This means that the biggest amount of students got around 50% for the test,What percentage did the students earn during the test,This describes how much did the students get from the test,This describes the amount of students that got the result,6,university,3,8,4.95,4.6,4.55,NA
0Vh-O_5eejG8pIdNrb_Vw373sqyGtSa6aj_AFppCTgzE5QYGOWY0KN9Q04WfVm_v,2023-11-09T17:27:24Z,2023-11-09T17:28:13Z,NA,NA,5a95935889de8200013ed605,experiment_simulation_vs_lab,eg_signaling_u3,halfeye_xaxis_-0.65,halfeye_xaxis_-0.5,halfeye_yaxis_-0.2,halfeye_xaxis_0.65,halfeye_yaxis_-0.35,halfeye_yaxis_-0.65,halfeye_xaxis_0.2,halfeye_yaxis_-0.8,halfeye_xaxis_0.5,halfeye_xaxis_-0.35,halfeye_yaxis_0.8,halfeye_yaxis_0.65,halfeye_xaxis_-0.8,halfeye_yaxis_0.35,halfeye_yaxis_0.5,halfeye_yaxis_0.2,halfeye_yaxis_-0.5,halfeye_xaxis_0.35,halfeye_xaxis_-0.2,halfeye_xaxis_0.8,accuracy_sensitivity,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0VjQGuTPkBi-d9NE89qdNpr5Jqj4BzYiL6I-mq-qNCeRlmylg4PdHBRoBe2RxSZ5,2023-11-09T12:32:12Z,2023-11-09T13:02:01Z,2023-11-09T13:02:01Z,NA,5a8b49d917ef35000170b814,video_withsub_vs_without,eg_benchmark,halfeye_xaxis_0.35,halfeye_yaxis_-0.2,halfeye_xaxis_0.5,halfeye_xaxis_0.2,halfeye_xaxis_0.8,halfeye_xaxis_0.65,halfeye_yaxis_0.5,halfeye_xaxis_-0.8,halfeye_yaxis_-0.35,halfeye_yaxis_-0.8,halfeye_xaxis_-0.2,halfeye_yaxis_0.8,halfeye_yaxis_0.65,halfeye_yaxis_0.2,halfeye_xaxis_-0.35,halfeye_yaxis_-0.65,halfeye_yaxis_-0.5,halfeye_yaxis_0.35,halfeye_xaxis_-0.65,halfeye_xaxis_-0.5,accuracy_sensitivity,1,4,NA,-0.2,5,90,2,2,3,NA,0.2,2,96,2,2,3,NA,-0.2,10,20,2,2,3,NA,-0.2,2,96,2,2,2,NA,0.6,13,74,2,2,3,NA,-0.4,12,76,2,2,3,NA,-0.4,6,88,2,2,3,NA,0.6,13,74,2,2,2,NA,0.4,6,88,2,2,2,NA,0.8,13,74,2,2,1,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,2,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,2,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,2,3,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,2,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,2,2,4,sensitivity_tablet_livelesson_simulation_videowithsub_inferior,NA,NA,NA,2,2,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,3,3,4,sensitivity_tablet_livelesson_simulation_videowithsub_superior,NA,NA,NA,3,3,NA,2,5,3,2,5,1,1,The number of students with each score.,The score of the students test.,Students test score.,Number of students in each score.,2,NA,1,9,3.1,2.1,2.1,NA
